<BEG GLOBAL>
	Process[s]	16232-EAD
	Lot[s]	16232
	Wafer[s]	1
	Mask[s]	EAD
	Operator[s]	default
	Date[s]	16/05/2023
	Time[s]	11:26:38
	WaferInfo[s]	
<END GLOBAL>
<BEG>	WAFER (1)
	<BEG>	DIE (0 0)
		<BEG>	MODULE (0 0)
			<BEG>	MODTEST (IV_test 1)
				<BEG PARMS>
					pass	meas_error
				<END PARMS>
				<BEG DATA>
V(V)	I(A)
					1.04	1.955916E-01
					1.06	2.095441E-01
					1.08	2.235683E-01
					1.1	2.376917E-01
					1.12	2.518494E-01
					1.14	2.660866E-01
					1.16	2.803954E-01
					1.18	2.947321E-01
					1.2	3.091484E-01
					1.22	3.235822E-01
					1.24	3.380670E-01
					1.26	3.525771E-01
					1.28	3.671182E-01
					1.3	3.817297E-01
					1.32	3.963574E-01
					1.34	4.110477E-01
					1.36	4.257382E-01
					1.38	4.404658E-01
					1.4	4.552287E-01
					1.42	4.699928E-01
					1.44	4.847926E-01
					1.46	4.995723E-01
			<END DATA>
			<END>	MODTEST (IV_test 1)
		<END>	MODULE (0 0)
	<END>	DIE (-2 0)
	<BEG>	DIE (-3 0)
		<BEG>	MODULE (0 0)
			<BEG>	MODTEST (IV_test 1)
				<BEG PARMS>
					pass	meas_error
				<END PARMS>
				<BEG DATA>
V(V)	I(A)
					0.0	-9.203064E-12
					0.02	7.265976E-12
					0.04	-1.869384E-11
					0.06	1.195295E-11
					0.08	-8.516849E-12
					0.1	2.485929E-12
					0.12	-1.573960E-11
					0.14	2.218754E-11
					0.16	1.504659E-11
					0.18	2.508929E-11
					0.2	5.924725E-11
					0.22	1.003833E-10
					0.24	2.183311E-10
					0.26	4.940252E-10
					0.28	1.033784E-09
					0.3	2.231289E-09
					0.32	4.751190E-09
					0.34	1.017440E-08
					0.36	2.183758E-08
					0.38	4.679520E-08
					0.4	1.003312E-07
					0.42	2.149211E-07
					0.44	4.609217E-07
					0.46	9.854969E-07
					0.48	2.106056E-06
					0.5	4.500264E-06
					0.52	9.580313E-06
					0.54	2.040888E-05
					0.56	4.338473E-05
					0.58	9.209883E-05
					0.6	1.946826E-04
					0.62	4.087930E-04
					0.64	8.476243E-04
					0.66	1.711814E-03
					0.68	3.340574E-03
					0.7	6.134159E-03
					0.72	1.045339E-02
					0.74	1.639467E-02
					0.76	2.390629E-02
					0.78	3.272678E-02
					0.8	4.257538E-02
					0.82	5.326305E-02
					0.84	6.457660E-02
					0.86	7.641626E-02
					0.88	8.865427E-02
					0.9	1.012190E-01
					0.92	1.140553E-01
					0.94	1.271399E-01
					0.96	1.404437E-01
					0.98	1.538887E-01
					1.0	1.674835E-01
					1.02	1.812252E-01
					1.04	1.950535E-01
					1.06	2.089992E-01
					1.08	2.230140E-01
					1.1	2.371334E-01
					1.12	2.512888E-01
					1.14	2.655191E-01
					1.16	2.798255E-01
					1.18	2.941611E-01
					1.2	3.085677E-01
					1.22	3.229911E-01
					1.24	3.374771E-01
					1.26	3.519810E-01
					1.28	3.665199E-01
					1.3	3.811300E-01
					1.32	3.957514E-01
					1.34	4.104347E-01
					1.36	4.251205E-01
					1.38	4.398434E-01
					1.4	4.546094E-01
					1.42	4.693655E-01
					1.44	4.841609E-01
					1.46	4.989453E-01
					1.48	4.997193E-01
			<END DATA>
			<END>	MODTEST (IV_test 1)
		<END>	MODULE (0 0)
	<END>	DIE (-3 0)
	<BEG>	DIE (-4 0)
		<BEG>	MODULE (0 0)
